268,Horseshoe Bay (Bermagui),-36.425323,150.078304,2546
269,Pambula River Mouth,-36.947582,149.914378,2549
270,Mogareeka Lions Park,-36.703132,149.989125,2550
271,Pambula Beach,-36.9407,149.9099,2549
272,Aslings Beach,-37.0568,149.9127,2551
273,Sunshine,-33.112635,151.566157,2264
274,Catherine Hill Bay,-33.157528,151.629882,2281
275,Balcolyn,-33.0899,151.5486,2264
276,Belmont,-33.035674,151.656859,2280
277,Toronto,-33.014261,151.598878,2283
278,Arcadia Vale,-33.061982,151.587285,2283
279,Speers Point Park,-32.963685,151.618374,2284
280,Croudace Bay,-33.003815,151.640517,2280
281,Eleebana (Lions Park),-32.9887,151.6361,2282
282,Bolton Point,-32.998383,151.609282,2283
283,Swansea,-33.071476,151.633229,2281
284,Kilaben Bay,-33.026685,151.593057,2283
285,Cams Wharf,-33.071476,151.633229,2281
286,Wangi Point (Van Park),-33.073807,151.61025,2267
287,Henley Baths (Kelly Street Baths),-33.84353,151.1317,2046
288,Ettalong Channel,-33.5163,151.3355,2257
289,Patonga Creek,-33.55423,151.267303,2256
